일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
2004년 2월,2.3,56,54.6,2.9,3.5
2004년 3월,6.3,49,27.6,2.7,3.9
2004년 4월,13.1,51,74.1,2.7,3.9
2004년 5월,17.6,68,168.5,2.6,5.8
2004년 6월,23.2,64,138.1,2.1,6.4
2004년 7월,24.8,82,510.7,2.3,7.8
2004년 8월,26.1,71,193.3,2.4,6
2004년 9월,21.7,69,198.7,2.2,5.5
2004년 10월,15.2,54,6.5,2,2.4
2004년 11월,9.1,66,80,2,3.7
2004년 12월,1.9,56,27.2,2.2,3
2005년 1월,-2.5,52,4.5,2.4,2.7
2005년 2월,-1.9,49,17.2,2.8,3.5
2005년 3월,4.1,54,12.5,2.9,3.8
2005년 4월,13.2,53,94.7,3,4.3
2005년 5월,17.7,55,85.8,2.4,4.1
2005년 6월,22.7,69,168.5,2.4,6.3
2005년 7월,25.3,76,269.4,2.2,7.2
2005년 8월,25.1,75,285,2.6,6.9
2005년 9월,21.8,71,313.3,2.3,6.4
2005년 10월,14.7,65,52.6,1.7,3.4
2005년 11월,8.6,55,44.6,2.2,2.9
2005년 12월,-3.9,51,10.3,2.5,2.2
2006년 1월,-0.2,57,34.3,2.1,4
2006년 2월,0.1,53,15.7,2.6,4.3
2006년 3월,5.2,51,14,2.9,4.2
2006년 4월,11.6,55,51.8,3,5.9
2006년 5월,18.4,57,156.2,2.5,5.2
2006년 6월,21.8,68,168.5,2.2,6.1
2006년 7월,23.1,82,1014,2.3,8.7
2006년 8월,27,69,121.2,2.1,5.4
2006년 9월,21.1,58,11.1,2.1,4.7
2006년 10월,17.9,62,30.2,2,3.2
2006년 11월,8.4,58,47.6,2.4,4.3
2006년 12월,1.4,59,17.3,2.1,3.7
2007년 1월,0.4,56,10.8,2,3.5
2007년 2월,4,53,12.6,2.3,3.3
2007년 3월,6.1,60,123.5,2.7,5.2
2007년 4월,11.4,53,41.1,2.8,4.8
2007년 5월,18.1,62,137.6,2.6,5.5
2007년 6월,23.2,61,54.5,2.3,6.1
2007년 7월,24.2,75,274.1,2.4,7.6
2007년 8월,26.5,75,237.6,2.6,6.9
2007년 9월,21.5,74,241.9,2.5,7.3
2007년 10월,15.1,63,39.5,2.1,4.9
2007년 11월,6.7,55,26.4,2.2,3.1
2007년 12월,1.8,60,12.7,2.4,4
2008년 1월,-1.7,50,17.7,2.3,4.5
2008년 2월,-1.2,46,15,2.7,2.3
2008년 3월,7.3,56,53.9,2.6,4.2
2008년 4월,14.1,50,38.5,2.7,4.6
2008년 5월,17.7,58,97.7,2.7,4.8
2008년 6월,21.5,65,165,2.7,6.5
2008년 7월,25.1,78,530.8,2.4,8.2
2008년 8월,25.3,70,251.2,2.5,5.4
2008년 9월,22,64,99.2,1.9,5.2
2008년 10월,16.1,62,41.8,2,3.9
2008년 11월,7.6,58,19.6,2.2,4.3
2008년 12월,1.1,56,25.9,2.5,4.3
2009년 1월,-2,50,5.7,2.5,2.5
2009년 2월,2.9,57,36.9,2.5,5.3
2009년 3월,6,52,63.9,3.1,4.4
2009년 4월,12.7,54,66.5,2.6,4.1
2009년 5월,19.1,59,109,2.5,4.3
2009년 6월,22.4,66,132,2.5,5.4
2009년 7월,24.3,76,659.4,2.3,6.7
2009년 8월,25.7,69,285.3,2.2,5.6
2009년 9월,21.8,64,64.5,1.8,4
2009년 10월,16,62,66.9,2.1,2.5
2009년 11월,6.9,64,52.4,2.5,5.1
2009년 12월,-1,60,21.5,2.5,3.8
2010년 1월,-4.5,65,29.3,2.3,3.7
2010년 2월,1.4,59,55.3,2.4,4.8
2010년 3월,4.3,59,82.5,2.9,6.2
2010년 4월,9.5,54,62.8,2.9,5.2
2010년 5월,17.2,62,124,2.6,5.4
2010년 6월,23.4,62,127.6,2.1,5
2010년 7월,25.8,74,239.2,2.5,7.4
2010년 8월,26.5,78,598.7,2.4,7.6
2010년 9월,21.8,72,671.5,2.3,5.9
2010년 10월,14.5,61,25.6,2.2,3.7
2010년 11월,6.5,55,10.9,2.8,3.4
2010년 12월,-1.3,56,16.1,3,4.1
2011년 1월,-7.2,54,8.9,2.8,2.7
2011년 2월,1.2,55,29.1,2.6,4
2011년 3월,3.6,51,14.6,3.4,3.3
2011년 4월,10.7,54,110.1,3.2,4.7
2011년 5월,17.9,57,53.4,2.8,5.6
2011년 6월,22,67,404.5,2.9,6.1
2011년 7월,24.6,79,1131,2.4,8
2011년 8월,25.8,74,166.8,2.5,7.5
2011년 9월,21.8,58,25.6,2.4,4.5
2011년 10월,14.2,55,32,2.1,3.8
2011년 11월,10.7,61,56.2,2.7,6
2011년 12월,-0.9,51,7.1,2.6,3.9
2012년 1월,-2.8,49,6.7,2.5,3.6
2012년 2월,-2,43,0.8,2.9,3.4
2012년 3월,5.1,52,47.4,3.5,5.2
2012년 4월,12.3,54,157,3.4,4.6
2012년 5월,19.7,48,8.2,2.7,4.3
2012년 6월,24.1,54,91.9,2.8,5.4
2012년 7월,25.4,74,448.9,2.7,7.4
2012년 8월,27.1,68,464.9,3,6.8
2012년 9월,21,65,212,2.3,5.6
2012년 10월,15.3,58,99.3,2.3,3.6
2012년 11월,5.5,57,67.8,2.7,4.5
2012년 12월,-4.1,57,41.4,2.7,3.5
2013년 1월,-3.4,57,22.1,2.7,4.3
2013년 2월,-1.2,54,74.1,2.9,4.7
2013년 3월,5.1,49,27.3,3,3.3
2013년 4월,10,54,71.7,3.4,5
2013년 5월,18.2,58,132,2.9,4.7
2013년 6월,24.4,60,28.3,2.2,5.4
2013년 7월,25.5,79,676.2,3.4,8.5
2013년 8월,27.7,69,148.6,2.8,6.2
2013년 9월,21.8,63,138.5,2.2,5.5
2013년 10월,15.8,59,13.5,2.5,2.9
2013년 11월,6.2,58,46.8,2.7,3.9
2013년 12월,-0.2,60,24.7,2.4,4
2014년 1월,-0.7,50,13,2.4,3.4
2014년 2월,1.9,52,16.2,2.7,4
2014년 3월,7.9,60,7.2,3,3.9
2014년 4월,14,60,31,2.8,4.7
2014년 5월,18.9,59,63,3.2,3.2
2014년 6월,23.1,73,98.1,2.6,6.7
2014년 7월,26.1,74,207.9,2.8,6.8
2014년 8월,25.2,77,172.8,2.4,7.1
2014년 9월,22.1,69,88.1,2.1,4.9
2014년 10월,15.6,63,52.2,2.4,3.3
2014년 11월,9,61,41.5,2.5,4.3
2014년 12월,-2.9,56,17.9,2.8,3.4
2015년 1월,-0.9,56,11.3,2.6,3.9
2015년 2월,1,59,22.7,2.9,4.5
2015년 3월,6.3,45,9.6,3.1,2.8
2015년 4월,13.3,55,80.5,3.1,5
2015년 5월,18.9,53,28.9,3,4.1
2015년 6월,23.6,60,99,2.5,5.6
2015년 7월,25.8,71,226,2.8,7
2015년 8월,26.3,70,72.9,2.4,5.6
2015년 9월,22.4,56,26,2.3,3.8
2015년 10월,15.5,61,81.5,2.3,2.8
2015년 11월,8.9,74,104.6,2.7,6.6
2015년 12월,1.6,60,29.1,2.3,4.1
2016년 1월,-3.2,53,1,2.5,4
2016년 2월,0.2,52,47.6,2.8,3.7
2016년 3월,7,51,40.5,2.4,3.6
2016년 4월,14.1,55,76.8,2.4,4.8
2016년 5월,19.6,56,160.5,2.4,4.6
2016년 6월,23.6,63,54.4,2.1,5.3
2016년 7월,26.2,73,358.2,2.1,7.2
2016년 8월,28,64,67.1,2.1,4.6
2016년 9월,23.1,65,33,2,5.8
2016년 10월,16.1,62,74.8,2.1,5.3
2016년 11월,6.8,57,16.7,2.2,4.7
2016년 12월,1.2,59,61.1,2.2,4.7
2017년 1월,-1.8,55,14.9,2.3,3.5
2017년 2월,-0.2,54,11.1,2.4,2.8
2017년 3월,6.3,48,7.9,2.4,3.9
2017년 4월,13.9,52,61.6,2.6,4.4
2017년 5월,19.5,52,16.1,2.4,3.9
2017년 6월,23.3,57,66.6,2.4,4.7
2017년 7월,26.9,77,621,2,7.9
2017년 8월,25.9,71,297,2.3,7
2017년 9월,22.1,61,35,2,4.2
2017년 10월,16.4,56,26.5,1.9,4.5
2017년 11월,5.6,54,40.7,2.1,4.2
2017년 12월,-1.9,56,34.8,1.8,3.9
2018년 1월,-4,48,8.5,1.9,4.3
2018년 2월,-1.6,45,29.6,2.2,3.9
2018년 3월,8.1,59,49.5,1.9,5.2
2018년 4월,13,55,130.3,2,4.7
2018년 5월,18.2,63,222,1.7,5.4
2018년 6월,23.1,63,171.5,1.7,5.9
2018년 7월,27.8,68,185.6,1.5,5.1
2018년 8월,28.8,65,202.6,1.7,5.8
2018년 9월,21.5,61,68.5,1.6,5.1
2018년 10월,13.1,59,120.5,1.5,3.7
2018년 11월,7.8,58,79.1,1.4,4
2018년 12월,-0.6,46,16.4,1.8,3.8
2019년 1월,-0.9,46,0,1.8,3.1
2019년 2월,1,47,23.8,1.8,4.8
2019년 3월,7.1,51,26.8,2.1,4.7
2019년 4월,12.1,51,47.3,1.9,4.9
2019년 5월,19.4,47,37.8,2.1,3.8
2019년 6월,22.5,61,74,1.7,5.4
2019년 7월,25.9,69,194.4,1.8,7.2
2019년 8월,27.2,69,190.5,1.6,5.6
2019년 9월,22.6,65,139.8,2.2,6.6
2019년 10월,16.4,62,55.5,2.1,4.2
2019년 11월,7.6,56,78.8,2.2,4.1
2019년 12월,1.4,58,22.6,2.1,4.4
2020년 1월,1.6,56,60.5,2.1,4.8
2020년 2월,2.5,58,53.1,2.3,4.7
2020년 3월,7.7,46,16.3,2.5,3.4
2020년 4월,11.1,50,16.9,3,3.1
2020년 5월,18,67,112.4,2.4,6.3
2020년 6월,23.9,68,139.6,2.3,5.9
2020년 7월,24.1,77,270.4,2.4,7.5
2020년 8월,26.5,85,675.7,2.3,8.1
2020년 9월,21.4,71,181.5,2.5,5.8
2020년 10월,14.3,61,0,2.1,3.7
2020년 11월,8,64,120.1,2.2,4.1
2020년 12월,-0.3,58,4.6,2.2,3.3
2021년 1월,-2.4,58,18.9,2.5,3.9
2021년 2월,2.7,56,7.1,2.6,4
2021년 3월,9,63,110.9,2.4,4.7
2021년 4월,14.2,54,124.1,2.6,4.8
2021년 5월,17.1,68,183.1,2.4,5.6
2021년 6월,22.8,73,104.6,2.2,5.6
2021년 7월,28.1,71,168.3,2,5.9
2021년 8월,25.9,74,211.2,2.1,7
2021년 9월,22.6,71,131,2.3,5.4
2021년 10월,15.6,70,57,2.1,4.7
2021년 11월,8.2,68,62.4,2.1,4.2
2021년 12월,0.6,62,7.9,2.3,3.2
2022년 1월,-2.2,55,5.5,2.2,3.1
2022년 2월,-1.1,55,4.7,2.6,3.2
2022년 3월,7.7,62,102.6,2.5,5.2
2022년 4월,14.8,55,20.4,2.7,4.1
2022년 5월,19.1,55,7.5,2.6,3.9
2022년 6월,23.3,73,393.8,2.5,6.9
2022년 7월,27.3,77,252.3,2.1,6.9
2022년 8월,25.7,80,564.8,2.3,7.3
2022년 9월,22.4,68,201.5,2.4,5.1
2022년 10월,14.6,69,124.1,2.2,4.2
2022년 11월,10,65,84.5,2.1,3.7
2022년 12월,-2.8,59,13.6,2.3,3.4
2023년 1월,-1.5,63,47.9,2.4,3.6
2023년 2월,2.3,59,1,2.3,3.5
2023년 3월,9.8,51,10.5,2.3,3.4
2023년 4월,13.8,60,96.9,2.5,5.4
2023년 5월,19.5,63,155.6,2.3,5.3
2023년 6월,23.4,73,195.6,2.2,5.7
2023년 7월,26.7,81,459.9,2.1,6.7
2023년 8월,27.2,76,298.1,2.2,6.5
2023년 9월,23.7,74,134.5,2,6.2
2023년 10월,15.8,67,31,1.9,3.7
2023년 11월,6.8,65,81.9,2.6,3.8
2023년 12월,1.1,69,85.9,2.4,4.4
