일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10)
1930년 4월,12.5,69,100,2.1,6.7
1930년 5월,16.7,70,113.1,2.3,5.5
1930년 6월,21.4,67,56.8,2.1,6.3
1930년 7월,25.5,85,821.3,1.9,8.3
1930년 8월,26.4,75,174.2,1.5,6.5
1930년 9월,19.5,70,45.2,1.7,5.2
1930년 10월,14,74,88.5,1.4,4
1930년 11월,3.1,69,75.7,2,5.2
1930년 12월,-0.8,69,7.5,1.3,4.2
1931년 1월,-3.9,72,34.5,1.8,5.4
1931년 2월,-2.7,63,37.5,2,4.3
1931년 3월,4.7,64,34.9,1.9,4.3
1931년 4월,8.8,66,104.3,2.4,5.5
1931년 5월,16.3,68,175.9,2.1,5.6
1931년 6월,21.4,74,115.5,1.9,7.8
1931년 7월,22.4,78,245.1,2.1,7.9
1931년 8월,25,83,445.4,1.9,8.4
1931년 9월,20,74,53.2,1.8,5.7
1931년 10월,11.9,70,13.8,1.4,3.6
1931년 11월,7.7,74,49.7,1.3,5.4
1931년 12월,-1,75,78.5,1.5,5.1
1932년 1월,-0.6,71,4.4,1.6,4.1
1932년 2월,-1.4,68,22.6,2.3,5.3
1932년 3월,2.8,64,28.2,2.5,4.8
1932년 4월,9.9,67,28.9,2.3,6.2
1932년 5월,17,68,97.6,2.4,6.4
1932년 6월,21.7,73,80.6,1.8,6.7
1932년 7월,25.9,80,213.5,1.8,7.5
1932년 8월,25.6,77,274.6,1.8,7.6
1932년 9월,20.2,70,64.2,1.5,5.8
1932년 10월,12.2,73,68.9,1.6,3.3
1932년 11월,5.8,71,24.5,1.5,3.1
1932년 12월,0.6,65,33.2,1.8,4.7
1933년 1월,-6.4,54,6.1,2.6,3.7
1933년 2월,-3.7,59,18.2,2.8,4.7
1933년 3월,0.6,62,17.1,3,4.9
1933년 4월,10.2,61,55.4,3.3,6.4
1933년 5월,16.3,70,170.8,3.3,5.7
1933년 6월,20.7,73,201.3,2.9,6.5
1933년 7월,25.5,80,395.3,3,7.3
1933년 8월,24.1,82,225,3,7.5
1933년 9월,20.1,72,205.8,2.9,5.4
1933년 10월,13,67,40.7,2.4,5.5
1933년 11월,5.5,68,33.1,2.5,4.4
1933년 12월,0.4,68,32,2.4,4.3
1934년 1월,-8.3,57,5.3,2.1,2.2
1934년 2월,-2.3,62,19.6,2.8,3
1934년 3월,2,58,50.5,4.3,4.5
1934년 4월,9.1,60,87.4,3.5,6.1
1934년 5월,16.9,70,82.7,2.8,5.1
1934년 6월,20.2,76,149.3,3.2,6.9
1934년 7월,23.8,85,356.9,3.3,9.3
1934년 8월,24.1,84,184.1,3,8.6
1934년 9월,19.3,74,202.7,2.6,6.6
1934년 10월,11.7,64,14.6,2.3,4.3
1934년 11월,4.3,61,57.3,2.8,4.6
1934년 12월,0.8,68,34.2,2,4.8
1935년 1월,-3.2,64,12.1,2.6,4.1
1935년 2월,-0.2,58,4.2,2.5,3.6
1935년 3월,5.1,56,12.2,3.5,4.9
1935년 4월,10.3,60,66.9,3.3,4.7
1935년 5월,16,64,90.9,3.4,5.7
1935년 6월,20.1,73,169.3,3.3,6.3
1935년 7월,23.8,81,530.3,2.9,7.8
1935년 8월,25,78,117.2,2.4,6.4
1935년 9월,20.3,68,85.2,2.4,4.6
1935년 10월,14.6,68,44.1,2.6,3.9
1935년 11월,6.6,68,53.2,2.5,4.8
1935년 12월,-3.9,57,16.7,2.8,4.2
1936년 1월,-8.8,52,4.5,2.9,2.8
1936년 2월,-4.4,62,19,2.8,4.3
1936년 3월,-0.2,59,27,3.5,4.2
1936년 4월,9.1,66,141.2,3.9,6.7
